Sample,X1,X2,X3,X4,X5
1,4.96,4.946,4.95,4.956,4.958
2,4.958,4.927,4.935,4.94,4.95
3,4.971,4.929,4.965,4.952,4.938
4,4.94,4.982,4.97,4.953,4.96
5,4.964,4.94,4.953,4.962,4.956
6,4.969,4.951,4.955,4.966,4.954
7,4.96,4.944,4.957,4.948,4.951
8,4.969,4.949,4.963,4.952,4.962
9,4.984,4.928,4.96,4.943,4.955
10,4.97,4.934,4.961,4.94,4.965
11,4.975,4.959,4.962,4.971,4.968
12,4.945,4.977,4.95,4.969,4.954
13,4.976,4.964,4.97,4.968,4.972
14,4.97,4.954,4.964,4.959,4.968
15,4.982,4.962,4.968,4.975,4.963
16,4.961,4.943,4.95,4.949,4.957
17,4.98,4.97,4.975,4.978,4.977
18,4.975,4.968,4.971,4.969,4.972
19,4.977,4.966,4.969,4.973,4.97
20,4.975,4.967,4.969,4.972,4.972
